100,7,7,7,  9,11,16
200,8,8,9,  12,14,19
300,8,8,9,  13,16,24
400,9,9,10,  15,17,22
500,9,9,10,  15,18,26
600,10,10,10,  15,18,24
700,10,10,11,  17,19,24
800,10,10,11,  16,20,26
900,10,10,11,  17,20,27
1000,11,11,11,  18,20,25
1100,11,11,12,  18,21,27
1200,11,11,12,  18,21,28
1300,11,11,12,  18,22,28
1400,11,11,12,  19,22,28
1500,11,11,12,  18,22,28
1600,11,11,12,  20,22,29
1700,11,11,12,  19,23,28
1800,12,12,12,  19,23,32
1900,12,12,13,  19,23,31
2000,12,12,13,  20,24,36
2100,12,12,13,  20,23,29
2200,12,12,13,  20,24,28
2300,12,12,13,  21,24,29
2400,12,12,13,  21,24,32
2500,12,12,13,  21,24,30
2600,12,12,13,  21,25,32
2700,12,12,13,  20,24,32
2800,12,12,13,  21,25,32
2900,12,12,13,  22,25,31
3000,12,12,13,  22,25,31
N	  |	avlMin	avlAvg	avlMax	  |	bstMin	bstAvg	bstMax
